0,1,2,3,4,5,6
Debtor Days,110,85,106,71,74,61
Inventory Days,0,0,0,0,0,0
Days Payable,,,,,,
Cash Conversion Cycle,110,85,106,71,74,61
Working Capital Days,101,83,-71,-36,78,52
ROCE %,,52%,18%,32%,35%,69%
