0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"5,368","9,596","8,028","8,556","9,001","9,444","10,027","9,720","9,088","9,521","9,585","9,746","10,066"
Expenses +,"4,629","8,313","7,201","7,862","8,054","8,347","8,910","8,651","8,067","8,693","8,580","8,739","9,062"
Operating Profit,739,"1,283",828,695,947,"1,097","1,118","1,070","1,021",827,"1,004","1,007","1,003"
OPM %,14%,13%,10%,8%,11%,12%,11%,11%,11%,9%,10%,10%,10%
Other Income +,12,23,19,25,30,32,44,34,230,92,60,82,137
Interest,89,71,72,81,68,75,93,104,93,103,97,116,120
Depreciation,90,172,167,170,169,169,174,178,182,181,179,180,189
Profit before tax,573,"1,062",609,469,740,886,895,822,975,636,788,793,832
Tax %,35%,26%,25%,25%,25%,26%,26%,26%,20%,25%,27%,26%,26%
Net Profit +,372,786,454,349,552,659,666,609,779,476,578,589,619
EPS in Rs,7.37,14.95,8.63,6.65,10.50,8.00,8.08,7.40,9.46,5.79,7.02,7.16,7.51
Raw PDF,,,,,,,,,,,,,
