0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"10,226","11,891","5,996","6,528","8,311","10,785","12,585","12,320","11,679","32,292","35,030","38,356","38,917"
Expenses +,"9,611","11,012","5,692","6,007","7,205","9,500","11,449","11,145","10,283","27,572","31,463","34,320","35,075"
Operating Profit,615,880,304,521,"1,107","1,284","1,136","1,175","1,396","4,720","3,567","4,036","3,842"
OPM %,6%,7%,5%,8%,13%,12%,9%,10%,12%,15%,10%,11%,10%
Other Income +,-123,-371,"1,226",-8,52,44,34,45,142,64,106,401,372
Interest,990,"1,235",916,"1,006",762,541,614,567,464,312,295,393,436
Depreciation,701,688,393,298,308,304,335,409,373,704,675,715,730
Profit before tax,"-1,199","-1,414",222,-792,89,483,221,244,700,"3,767","2,704","3,328","3,048"
Tax %,-32%,-2%,-1%,-29%,34%,34%,37%,37%,39%,26%,26%,24%,
Net Profit +,-821,"-1,390",223,-559,58,318,139,153,428,"2,790","2,014","2,531","2,263"
EPS in Rs,-40.22,-64.54,9.85,-24.18,1.46,6.64,2.90,3.14,8.78,53.09,24.46,30.73,27.48
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,10%,
