0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,410","1,532","1,608","1,332","1,266","1,604","1,657","1,476","1,458","1,797","1,959","1,645","1,545"
Expenses +,"1,209","1,310","1,414","1,181","1,136","1,407","1,492","1,326","1,311","1,571","1,737","1,465","1,374"
Operating Profit,202,222,194,151,130,196,166,151,147,225,222,180,171
OPM %,14%,15%,12%,11%,10%,12%,10%,10%,10%,13%,11%,11%,11%
Other Income +,14,18,11,34,19,17,19,12,15,14,22,16,10
Interest,7,11,21,28,28,26,19,20,20,14,14,10,9
Depreciation,10,14,12,13,14,15,14,16,17,19,20,21,21
Profit before tax,199,215,171,144,107,172,151,128,126,206,211,165,151
Tax %,25%,16%,26%,8%,21%,23%,24%,26%,24%,22%,25%,25%,26%
Net Profit +,148,182,128,132,84,132,115,95,95,161,158,123,112
EPS in Rs,2.36,2.87,2.01,2.08,1.33,2.07,1.80,1.48,1.49,2.50,2.45,1.92,1.74
Raw PDF,,,,,,,,,,,,,
