0,1,2,3,4,5,6,7,8,9,10
Debtor Days,,85,44,50,46,37,35,33,33,33
Inventory Days,,60,36,40,42,55,58,51,56,58
Days Payable,,191,95,100,78,76,89,84,81,97
Cash Conversion Cycle,,-45,-14,-11,9,16,4,-0,8,-6
Working Capital Days,,-43,-11,-2,-14,5,-1,1,10,-1
ROCE %,,48%,48%,42%,38%,35%,34%,24%,17%,18%
