0,1,2,3,4,5,6,7,8,9,10,11
Equity Capital,0.05,125,125,125,125,125,126,127,127,129,129
Reserves,-2,103,392,664,973,"1,342","1,793","2,329","2,712","3,077","3,189"
Borrowings +,0,644,648,649,649,350,518,"1,632","1,000",679,474
Other Liabilities +,3,780,948,987,922,927,"1,107","1,238","1,307","1,690","1,447"
Total Liabilities,1,"1,653","2,113","2,425","2,670","2,744","3,544","5,326","5,146","5,574","5,238"
Fixed Assets +,0,858,862,862,863,909,915,"1,099","1,122","1,120","1,252"
CWIP,0,0,0,1,1,20,11,8,24,51,25
Investments,0,0,319,368,544,554,775,"2,018","2,459","2,556","2,350"
Other Assets +,1,795,933,"1,195","1,261","1,261","1,843","2,202","1,541","1,847","1,611"
Total Assets,1,"1,653","2,113","2,425","2,670","2,744","3,544","5,326","5,146","5,574","5,238"
