0,1,2,3,4,5,6,7,8,9,10
Cash from Operating Activity +,0,176,313,315,301,421,815,730,425,796
Cash from Investing Activity +,0,2,-319,-33,-171,-2,-489,"-1,720",299,-176
Cash from Financing Activity +,0,-88,-17,-175,-186,-513,-96,907,-850,-534
Net Cash Flow,0,90,-24,107,-56,-93,230,-83,-126,87
