0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"1,406","1,154","1,482","2,208","2,293","1,564","1,040","1,999","2,011","1,650","1,583","1,139"
Cash from Investing Activity +,-665,-753,-277,-772,"-1,116",95,-58,-440,"-1,228","-4,259","-1,812","-2,171"
Cash from Financing Activity +,-207,-408,-764,-705,"-1,621","-2,272","-1,107","-1,345","-1,042","2,329",352,"1,456"
Net Cash Flow,534,-7,441,731,-444,-613,-125,213,-260,-279,123,425
