0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,551,324,"1,006",881,552,497,665,871,537,462,832,995,625
Expenses +,170,184,176,165,170,335,187,171,173,252,217,191,206
Operating Profit,381,140,831,716,382,162,477,700,363,210,614,804,419
OPM %,69%,43%,83%,81%,69%,33%,72%,80%,68%,45%,74%,81%,67%
Other Income +,57,68,103,88,189,75,74,96,67,164,71,92,75
Interest,38,82,144,117,117,54,94,129,146,86,142,159,205
Depreciation,102,103,100,105,103,82,97,98,108,231,114,116,115
Profit before tax,297,22,689,582,351,100,361,570,177,57,429,620,174
Tax %,22%,103%,12%,23%,17%,86%,25%,23%,24%,-8%,24%,24%,20%
Net Profit +,233,-1,608,451,291,14,270,441,135,62,327,473,139
EPS in Rs,0.59,-0.00,1.55,1.15,0.74,0.03,0.69,1.12,0.34,0.16,0.83,1.20,0.35
Raw PDF,,,,,,,,,,,,,
