0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,682","1,873","2,816","2,494","2,679","2,230","2,646","2,708","2,491","2,422","2,935","2,534","2,913"
Expenses +,242,268,372,431,480,524,605,589,621,625,671,725,866
Operating Profit,"1,440","1,604","2,443","2,063","2,200","1,706","2,041","2,119","1,869","1,797","2,264","1,809","2,047"
OPM %,86%,86%,87%,83%,82%,77%,77%,78%,75%,74%,77%,71%,70%
Other Income +,245,237,309,537,409,407,392,569,406,177,325,378,402
Interest,54,29,65,218,55,101,251,344,42,226,466,479,592
Depreciation,447,475,641,677,680,365,390,384,393,404,391,534,577
Profit before tax,"1,185","1,338","2,047","1,704","1,874","1,648","1,793","1,959","1,840","1,343","1,732","1,174","1,280"
Tax %,11%,17%,18%,17%,18%,26%,24%,21%,11%,27%,21%,23%,
Net Profit +,"1,052","1,115","1,677","1,407","1,544","1,225","1,364","1,557","1,633",978,"1,363",908,"1,001"
EPS in Rs,2.54,2.69,4.05,3.40,3.73,3.12,3.47,3.96,4.16,2.49,3.47,2.31,2.54
Dividend Payout %,38%,36%,26%,32%,74%,67%,62%,56%,53%,68%,51%,78%,
