0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,365","2,181","2,620","2,699","2,637","2,433","2,771","2,811","2,882","2,797","3,131","3,136","3,164"
Expenses +,"2,081","1,961","2,359","2,339","2,240","2,080","2,402","2,401","2,447","2,389","2,701","2,695","2,748"
Operating Profit,284,220,261,360,397,353,369,410,435,408,430,441,416
OPM %,12%,10%,10%,13%,15%,15%,13%,15%,15%,15%,14%,14%,13%
Other Income +,19,16,17,24,26,-25,22,28,24,28,26,18,140
Interest,4,5,5,5,6,8,8,8,8,10,9,13,11
Depreciation,102,99,96,102,115,124,117,121,120,121,118,122,123
Profit before tax,197,132,177,277,303,196,266,309,331,305,329,324,422
Tax %,27%,26%,26%,27%,26%,28%,25%,27%,24%,25%,26%,26%,26%
Net Profit +,145,99,131,202,223,141,199,226,253,228,245,241,312
EPS in Rs,8.47,5.77,7.70,11.84,13.04,8.25,11.63,13.25,14.80,12.46,13.36,13.15,17.04
Raw PDF,,,,,,,,,,,,,
