0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,335,279,395,555,553,322,541,"1,177",802,633,956,"1,314"
Cash from Investing Activity +,-119,-342,-294,-387,-529,-236,-448,-831,-616,-482,-789,"-1,072"
Cash from Financing Activity +,-35,-53,-75,-164,-2,-138,-92,-364,-122,-213,-112,-242
Net Cash Flow,181,-117,26,4,22,-52,1,-18,64,-62,55,-0
