0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"15,495","15,732","14,235","23,987","20,014","19,250","16,157","21,584","27,058","37,898","42,351","34,831"
Cash from Investing Activity +,"-14,017","-13,980","-14,563","-18,346","-24,414","-20,390","-20,894","-27,247","-17,342","-18,080","-14,101","-15,118"
Cash from Financing Activity +,-752,"-3,309","-1,878","-4,550","3,185","1,043","4,701","5,659","-9,646","-19,877","-28,365","-19,519"
Net Cash Flow,726,"-1,556","-2,206","1,092","-1,215",-97,-36,-4,70,-59,-114,194
