0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,69,171,270,341,431,444,590,698,761,"1,034","1,333","1,473","1,496"
Expenses +,120,239,296,339,430,461,531,599,571,788,"1,012","1,184","1,256"
Operating Profit,-51,-69,-27,2,1,-17,59,99,190,246,321,289,239
OPM %,-75%,-40%,-10%,1%,0%,-4%,10%,14%,25%,24%,24%,20%,16%
Other Income +,6,7,7,10,15,17,-19,5,23,38,22,113,100
Interest,0,1,1,1,2,6,16,8,6,8,22,42,77
Depreciation,2,4,5,5,6,7,20,20,21,24,30,34,37
Profit before tax,-47,-66,-26,5,7,-13,4,75,186,251,292,325,225
Tax %,0%,0%,0%,0%,43%,0%,0%,3%,13%,26%,26%,24%,
Net Profit +,-47,-66,-26,5,4,-13,4,73,162,186,216,246,165
EPS in Rs,-19.05,-23.35,-8.93,1.51,1.17,-3.52,1.11,14.87,11.03,12.70,14.73,16.14,10.81
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,26%,29%,36%,35%,
