0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,266,287,308,338,345,342,357,370,371,375,372,375,373
Expenses +,206,214,229,254,266,262,276,298,302,308,312,315,322
Operating Profit,60,73,78,83,79,80,81,72,68,68,60,60,51
OPM %,23%,26%,25%,25%,23%,23%,23%,19%,18%,18%,16%,16%,14%
Other Income +,8,17,1,4,8,9,14,22,51,26,26,26,22
Interest,2,2,2,5,6,9,10,11,11,10,18,25,24
Depreciation,6,7,7,7,8,8,8,9,9,9,9,9,10
Profit before tax,60,81,70,76,73,73,78,74,99,74,60,52,39
Tax %,25%,23%,25%,27%,22%,29%,26%,26%,20%,27%,27%,27%,27%
Net Profit +,45,62,53,55,57,51,57,55,80,54,44,38,29
EPS in Rs,3.05,4.24,3.58,3.77,3.90,3.49,3.91,3.58,5.24,3.54,2.88,2.51,1.88
Raw PDF,,,,,,,,,,,,,
