0,1,2,3,4,5,6,7
Sales +,282,334,511,837,"1,006","1,046","1,100"
Expenses +,230,249,361,668,828,878,915
Operating Profit,53,86,150,169,178,168,184
OPM %,19%,26%,29%,20%,18%,16%,17%
Other Income +,12,-24,30,28,37,50,82
Interest,1,3,4,3,6,7,6
Depreciation,4,13,18,24,32,31,27
Profit before tax,59,46,159,170,177,181,233
Tax %,14%,30%,17%,22%,26%,24%,
Net Profit +,51,32,132,133,130,138,176
EPS in Rs,324.22,202.30,843.58,755.26,5.87,6.20,7.51
Dividend Payout %,0%,0%,0%,0%,0%,0%,
