0,1,2,3,4,5,6,7
Equity Capital,0.31,0.30,0.30,0.40,44,44,48
Reserves,158,-3,254,650,751,909,"1,726"
Borrowings +,106,362,23,44,51,38,32
Other Liabilities +,57,72,96,156,191,228,240
Total Liabilities,322,431,373,850,"1,038","1,220","2,046"
Fixed Assets +,8,31,41,72,78,56,47
CWIP,0,0,0,0,0,0,0
Investments,134,251,83,203,400,624,784
Other Assets +,180,148,249,575,559,540,"1,215"
Total Assets,322,431,373,850,"1,038","1,220","2,046"
