0,1,2,3,4,5,6,7,8
Sales +,256,252,260,260,272,259,282,287
Expenses +,212,215,217,223,226,219,235,235
Operating Profit,44,38,43,37,46,40,46,52
OPM %,17%,15%,17%,14%,17%,15%,16%,18%
Other Income +,9,12,6,12,23,14,22,22
Interest,2,2,2,2,2,2,2,2
Depreciation,10,9,8,6,8,7,6,6
Profit before tax,42,39,39,41,60,45,61,66
Tax %,32%,24%,26%,27%,19%,28%,27%,25%
Net Profit +,28,30,29,30,49,33,45,50
EPS in Rs,1.28,1.33,1.32,1.33,2.20,1.36,1.87,2.08
Raw PDF,,,,,,,,
