0,1,2,3,4,5,6
Cash from Operating Activity +,62,90,53,38,82,176
Cash from Investing Activity +,-70,-51,-34,-267,-51,-189
Cash from Financing Activity +,15,-18,-37,245,-17,-16
Net Cash Flow,8,20,-18,16,14,-29
