0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,843","3,964","7,338","7,950","8,326","8,362","8,379","8,570","8,701","8,604","8,868","9,105","9,286"
Expenses +,"3,068","3,195","5,887","6,373","7,022","6,824","6,808","7,000","7,190","7,118","7,330","7,484","7,795"
Operating Profit,775,769,"1,450","1,576","1,304","1,539","1,571","1,569","1,511","1,486","1,539","1,620","1,492"
OPM %,20%,19%,20%,20%,16%,18%,19%,18%,17%,17%,17%,18%,16%
Other Income +,100,139,155,120,154,72,135,146,218,210,227,303,217
Interest,18,18,30,36,36,42,43,44,56,63,70,68,67
Depreciation,71,84,151,167,161,168,171,194,184,212,214,219,242
Profit before tax,787,806,"1,425","1,493","1,261","1,402","1,492","1,478","1,489","1,421","1,482","1,636","1,399"
Tax %,25%,26%,25%,25%,23%,22%,25%,23%,24%,23%,25%,25%,26%
Net Profit +,589,599,"1,068","1,127",965,"1,089","1,123","1,134","1,135","1,094","1,106","1,220","1,042"
EPS in Rs,33.63,34.19,60.93,38.11,32.62,36.82,37.97,38.31,38.36,36.93,37.35,41.20,35.15
Raw PDF,,,,,,,,,,,,,
