0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"8,060","8,808","20,318","22,137","12,142","10,325","11,293","6,342","7,961","9,210","7,801","6,587","6,157"
Expenses +,"8,049","8,407","19,757","21,608","11,900","9,825","10,709","5,743","7,171","8,275","7,090","5,848","5,532"
Operating Profit,11,400,562,529,242,501,584,599,789,935,711,739,625
OPM %,0%,5%,3%,2%,2%,5%,5%,9%,10%,10%,9%,11%,10%
Other Income +,115,156,223,301,373,283,357,587,378,348,317,353,426
Interest,145,181,151,161,210,142,117,146,168,208,173,206,290
Depreciation,31,33,32,33,32,34,34,35,36,37,38,39,38
Profit before tax,-50,342,601,635,373,608,789,"1,005",964,"1,038",818,847,724
Tax %,-27%,34%,26%,26%,28%,28%,26%,24%,25%,25%,26%,26%,26%
Net Profit +,-36,227,443,469,270,441,587,762,718,777,602,628,535
EPS in Rs,-0.33,2.06,3.89,4.12,2.37,3.87,5.15,6.68,6.30,6.81,5.28,5.51,4.63
Raw PDF,,,,,,,,,,,,,
