0,1,2,3,4,5,6,7,8,9,10
Cash from Operating Activity +,,,"8,885","-2,599","2,695","6,583",-909,902,"-4,245","14,808"
Cash from Investing Activity +,,,"-2,671","-2,237","-2,373","-4,187","-1,804",-612,"-1,618","1,691"
Cash from Financing Activity +,,,"-2,023","2,846",105,154,588,"2,803","4,791","-8,579"
Net Cash Flow,,,"4,192","-1,989",427,"2,550","-2,125","3,093","-1,071","7,921"
