0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,480","3,669","3,631","4,880","3,898","4,554","5,437","4,839","4,103","5,105","5,841","6,696","5,015"
Expenses +,"2,866","2,999","3,051","3,078","3,222","3,493","3,210","3,210","3,447","3,726","3,888","3,975","3,823"
Operating Profit,614,670,580,"1,803",675,"1,061","2,228","1,629",656,"1,379","1,953","2,722","1,192"
OPM %,18%,18%,16%,37%,17%,23%,41%,34%,16%,27%,33%,41%,24%
Other Income +,63,115,403,118,51,115,234,223,228,213,218,208,235
Interest,8,13,10,2,3,3,4,6,6,6,7,28,43
Depreciation,205,205,222,226,239,237,237,246,246,246,250,260,265
Profit before tax,464,567,752,"1,693",485,937,"2,220","1,601",632,"1,339","1,914","2,641","1,119"
Tax %,26%,26%,34%,34%,33%,28%,26%,25%,25%,23%,26%,29%,24%
Net Profit +,341,420,500,"1,116",325,672,"1,639","1,193",475,"1,035","1,417","1,882",849
EPS in Rs,4.10,5.04,6.00,13.41,3.90,8.08,19.69,14.30,5.70,12.41,16.99,22.56,10.18
Raw PDF,,,,,,,,,,,,,
