0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,289,906,"1,786","2,747","1,016","1,539","2,762","1,839","3,514","1,339","5,053","3,450"
Cash from Investing Activity +,-524,-874,"-2,031","-1,919","1,430","-1,180",-546,"-1,689","-1,454","-1,990","-3,403","-3,429"
Cash from Financing Activity +,152,28,189,-693,"-2,582",-304,"-2,223",-224,-794,506,"-2,697",68
Net Cash Flow,-84,60,-56,135,-135,54,-8,-74,"1,266",-146,"-1,047",89
