0,1,2,3,4,5,6
Cash from Operating Activity +,371,385,775,428,505,585
Cash from Investing Activity +,-276,-169,-836,-394,-271,-173
Cash from Financing Activity +,-53,-46,31,-343,-55,-288
Net Cash Flow,42,170,-30,-309,180,124
