0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"10,704","12,058","12,356","6,456","8,828","11,615","12,153","11,699","15,370","25,965","17,667","21,294","23,190"
Expenses +,"3,331","4,333","4,580","3,762","5,226","5,806","5,223","5,689","6,573","13,332","11,603","13,938","14,844"
Operating Profit,"7,373","7,725","7,776","2,694","3,602","5,809","6,930","6,010","8,797","12,633","6,064","7,356","8,346"
OPM %,69%,64%,63%,42%,41%,50%,57%,51%,57%,49%,34%,35%,36%
Other Income +,"2,242","2,187","2,154","1,681",908,664,588,417,349,716,"1,983","1,072","1,486"
Interest,13,2,0,66,21,37,40,10,17,39,75,78,134
Depreciation,139,150,162,217,196,256,279,294,228,287,335,337,347
Profit before tax,"9,464","9,760","9,768","4,092","4,293","6,179","7,199","6,123","8,902","13,023","7,637","8,012","9,351"
Tax %,33%,34%,34%,34%,40%,38%,36%,41%,30%,27%,28%,30%,
Net Profit +,"6,342","6,420","6,422","2,712","2,589","3,806","4,642","3,610","6,253","9,448","5,529","5,632","6,658"
EPS in Rs,5.33,5.40,5.40,2.28,2.73,4.01,5.05,3.93,7.11,10.75,6.29,6.41,7.57
Dividend Payout %,44%,52%,53%,161%,63%,36%,36%,45%,36%,46%,35%,38%,
