0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"5,874","6,785","4,767","3,328","3,720","5,851","5,395","4,014","5,410","6,475","5,378","4,807","6,531"
Expenses +,"3,261","4,059","2,867","2,474","2,577","3,686","3,399","2,821","3,380","4,339","3,017","3,366","4,122"
Operating Profit,"2,612","2,726","1,900",854,"1,143","2,165","1,996","1,193","2,030","2,136","2,361","1,440","2,409"
OPM %,44%,40%,40%,26%,31%,37%,37%,30%,38%,33%,44%,30%,37%
Other Income +,153,332,146,426,188,"1,225",281,320,84,388,364,360,374
Interest,9,25,15,18,30,12,6,19,32,21,23,29,61
Depreciation,61,111,85,74,84,93,69,89,82,97,74,84,92
Profit before tax,"2,695","2,922","1,946","1,188","1,217","3,286","2,201","1,407","2,000","2,405","2,628","1,687","2,630"
Tax %,24%,36%,24%,25%,27%,31%,25%,27%,25%,39%,25%,25%,26%
Net Profit +,"2,050","1,862","1,473",889,890,"2,277","1,650","1,028","1,492","1,462","1,984","1,269","1,944"
EPS in Rs,2.33,2.12,1.68,1.01,1.01,2.59,1.88,1.17,1.70,1.66,2.26,1.44,2.21
Raw PDF,,,,,,,,,,,,,
