0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,396,396,396,396,316,316,306,306,293,293,293,293,293
Reserves,"27,114","29,592","31,935","28,721","22,203","24,037","25,645","27,228","29,463","17,582","22,039","25,113","27,903"
Borrowings +,0,0,0,"1,497",0,500,364,566,"2,000","1,801","2,127","3,359","4,158"
Other Liabilities +,"3,271","1,489","2,138","2,057","3,183","3,755","3,466","3,044","5,029","5,078","5,187","6,585","7,286"
Total Liabilities,"30,782","31,477","34,470","32,671","25,702","28,609","29,782","31,144","36,785","24,754","29,647","35,349","39,640"
Fixed Assets +,"1,265","1,362","1,334","1,918","1,953","2,672","2,721","3,017","3,118","2,834","3,014","3,163","4,816"
CWIP,"3,236","5,277","7,710","9,723","11,831","12,520","13,792","15,501","17,128","1,304","1,968","3,235","3,760"
Investments,250,250,562,695,727,786,939,986,985,987,887,992,992
Other Assets +,"26,031","24,587","24,864","20,335","11,191","12,631","12,330","11,640","15,553","19,628","23,778","27,960","30,072"
Total Assets,"30,782","31,477","34,470","32,671","25,702","28,609","29,782","31,144","36,785","24,754","29,647","35,349","39,640"
