0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,490","1,554","1,616","1,905","1,597","1,649","1,825","1,974","1,993","2,079","2,120","2,300","2,177"
Expenses +,"1,324","1,358","1,442","1,674","1,419","1,454","1,595","1,726","1,762","1,781","1,846","2,001","1,904"
Operating Profit,166,197,174,232,178,195,230,248,231,297,274,298,273
OPM %,11%,13%,11%,12%,11%,12%,13%,13%,12%,14%,13%,13%,13%
Other Income +,4,10,-6,6,8,10,11,11,14,14,14,18,14
Interest,1,0,1,1,1,1,1,1,1,0,1,0,1
Depreciation,50,52,57,60,60,64,64,65,66,67,69,73,73
Profit before tax,119,154,110,177,124,141,176,192,178,244,219,243,213
Tax %,26%,26%,26%,26%,26%,26%,26%,26%,26%,25%,25%,24%,26%
Net Profit +,88,115,81,131,92,105,131,143,132,182,163,185,157
EPS in Rs,6.25,8.16,5.75,9.33,6.56,7.43,9.28,10.13,9.41,12.96,11.58,13.14,11.15
Raw PDF,,,,,,,,,,,,,
