0,1,2,3,4,5,6,7,8,9,10,11
Debtor Days,,77,111,118,141,85,219,134,91,102,77
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,,77,111,118,141,85,219,134,91,102,77
Working Capital Days,,18,78,153,97,134,200,131,71,78,79
ROCE %,,-29%,2%,-10%,6%,11%,-1%,20%,19%,14%,16%
