0,1,2,3,4,5,6,7,8,9,10,11
Cash from Operating Activity +,,-45,-105,-120,12,-85,-10,378,462,164,256
Cash from Investing Activity +,,78,61,-76,-109,27,-60,-151,-396,-154,-198
Cash from Financing Activity +,,2,17,155,143,62,87,-219,-40,-35,-37
Net Cash Flow,,35,-26,-42,46,5,17,8,26,-25,21
