0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,384,187,434,589,712,790,711,"1,099","1,569","1,009","1,538","1,895"
Cash from Investing Activity +,-477,"-1,046",-458,-390,-655,-131,-863,"-1,311","-1,515",-906,"-1,174","-1,740"
Cash from Financing Activity +,-7,874,84,-215,-302,-598,207,11,-6,-123,-369,-297
Net Cash Flow,-100,15,60,-16,-246,61,55,-201,48,-19,-6,-142
