0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,907","2,790","3,351","4,124","3,745","4,591","4,981","5,464","6,328","7,679","9,310","10,918","10,689"
Expenses +,"2,345","2,415","2,885","3,604","3,051","3,829","4,167","4,250","4,769","6,166","7,977","8,903","8,900"
Operating Profit,562,376,466,520,694,762,814,"1,214","1,560","1,513","1,333","2,015","1,789"
OPM %,19%,13%,14%,13%,19%,17%,16%,22%,25%,20%,14%,18%,17%
Other Income +,46,47,49,57,80,109,76,-125,-99,-18,73,119,177
Interest,140,153,219,271,273,245,222,223,223,249,296,437,452
Depreciation,128,134,137,164,176,186,194,214,245,282,392,486,506
Profit before tax,341,136,159,142,324,440,474,652,993,964,718,"1,212","1,009"
Tax %,31%,29%,1%,27%,35%,22%,31%,39%,39%,35%,30%,31%,
Net Profit +,234,97,157,103,211,342,325,400,603,631,503,831,689
EPS in Rs,33.40,13.88,22.44,14.78,30.14,48.89,42.05,51.82,78.02,81.62,65.06,107.50,89.13
Dividend Payout %,19%,22%,18%,27%,27%,20%,24%,14%,19%,18%,23%,19%,
