0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,940","2,269","2,163","2,142","2,340","2,665","2,624","2,571","2,785","2,939","2,643","2,392","2,715"
Expenses +,"1,570","1,886","1,756","1,845","2,094","2,301","2,221","2,124","2,176","2,391","2,164","2,119","2,226"
Operating Profit,371,383,407,297,246,364,402,447,608,548,479,273,490
OPM %,19%,17%,19%,14%,11%,14%,15%,17%,22%,19%,18%,11%,18%
Other Income +,26,-89,15,23,18,36,14,28,35,53,44,37,44
Interest,65,69,62,62,74,98,105,109,111,111,107,120,114
Depreciation,72,76,90,90,101,112,118,120,118,131,124,126,125
Profit before tax,260,149,270,167,90,190,194,246,415,358,292,64,295
Tax %,36%,42%,33%,25%,36%,27%,35%,27%,30%,34%,31%,29%,31%
Net Profit +,167,86,181,125,58,139,126,179,289,236,203,45,205
EPS in Rs,21.66,11.16,23.41,16.16,7.46,18.04,16.35,23.16,37.46,30.54,26.23,5.85,26.51
Raw PDF,,,,,,,,,,,,,
