0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,10,13,13,15,18,18,21,15,12,10,14,15
Inventory Days,239,230,232,235,278,260,262,153,131,162,109,116
Days Payable,139,131,139,173,286,336,301,197,206,242,110,120
Cash Conversion Cycle,110,112,106,77,10,-57,-17,-30,-63,-69,13,11
Working Capital Days,-52,-45,-54,-53,-61,-51,-27,-42,-62,-71,37,21
ROCE %,24%,17%,15%,11%,11%,15%,16%,19%,16%,19%,9%,17%
