0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,9,15,21,30,28,20,29,35,40,27,19,15
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,9,15,21,30,28,20,29,35,40,27,19,15
Working Capital Days,149,259,254,358,228,178,228,271,290,153,147,229
ROCE %,40%,23%,17%,9%,12%,13%,14%,5%,1%,18%,31%,14%
