0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,220,286,92,208,457,325,143,6,149,483,935,110
Cash from Investing Activity +,-109,-190,-13,-70,-352,-220,21,82,85,-675,-789,237
Cash from Financing Activity +,-111,-112,-111,-115,-115,-97,-134,-77,-63,-7,-137,-365
Net Cash Flow,0,-15,-33,23,-10,8,30,11,172,-199,8,-18
