0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,670","1,285","1,413","1,179","1,537","2,051","1,880","1,449","1,329","2,732","3,498","2,463","2,815"
Expenses +,784,668,891,879,"1,116","1,499","1,319","1,321","1,332","2,009","2,161","1,836","2,163"
Operating Profit,886,617,522,300,421,552,560,128,-3,723,"1,337",627,653
OPM %,53%,48%,37%,25%,27%,27%,30%,9%,-0%,26%,38%,25%,23%
Other Income +,135,137,253,151,179,119,-155,169,-245,155,392,269,307
Interest,0,0,2,1,1,2,2,2,2,3,2,3,3
Depreciation,117,125,137,131,151,119,96,92,94,98,81,79,90
Profit before tax,904,630,636,318,447,551,307,203,-344,777,"1,646",814,867
Tax %,34%,30%,21%,29%,27%,22%,55%,29%,-89%,43%,27%,25%,
Net Profit +,601,439,500,225,325,428,139,145,-37,445,"1,201",614,667
EPS in Rs,18.89,13.81,15.73,7.06,10.23,13.47,4.36,4.56,-1.16,14.00,37.77,19.30,20.96
Dividend Payout %,16%,22%,19%,42%,29%,26%,46%,44%,-17%,31%,30%,49%,
