0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,002","1,081","1,997","1,141",955,"1,647","1,485","1,133","1,276","1,236","1,050",967,977
Expenses +,632,813,"1,522",949,755,"1,306","1,136",739,768,767,675,718,671
Operating Profit,370,268,475,192,200,340,348,394,507,469,374,250,305
OPM %,37%,25%,24%,17%,21%,21%,23%,35%,40%,38%,36%,26%,31%
Other Income +,24,31,139,160,50,50,77,58,22,53,117,178,81
Interest,31,26,30,39,58,133,105,119,118,135,90,75,88
Depreciation,79,78,80,81,80,77,71,69,65,64,64,64,62
Profit before tax,284,195,504,233,112,181,249,263,347,322,338,289,236
Tax %,33%,20%,32%,33%,29%,27%,33%,28%,28%,-6%,25%,1%,8%
Net Profit +,191,157,344,156,79,132,166,191,251,342,254,286,217
EPS in Rs,1.16,0.95,2.09,0.95,0.48,0.80,1.01,1.16,1.53,2.08,1.45,1.63,1.24
Raw PDF,,,,,,,,,,,,,
