0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"11,955","13,831","12,849","13,107","11,832","13,392","12,311","12,082","11,516","13,773","12,843","11,504","11,436"
Expenses +,"8,787","11,004","9,538","11,269","9,588","11,252","9,657","9,770","8,797","11,254","10,144","9,564","9,275"
Operating Profit,"3,168","2,827","3,311","1,838","2,244","2,140","2,653","2,312","2,719","2,519","2,699","1,940","2,161"
OPM %,26%,20%,26%,14%,19%,16%,22%,19%,24%,18%,21%,17%,19%
Other Income +,24,-295,"5,826","-1,656","-7,243",-136,14,26,30,15,23,25,16
Interest,325,295,258,320,343,365,258,258,195,210,183,167,133
Depreciation,563,551,540,544,544,538,540,555,559,563,564,573,571
Profit before tax,"2,303","1,686","8,339",-682,"-5,886","1,102","1,870","1,526","1,994","1,762","1,975","1,224","1,473"
Tax %,26%,29%,21%,-31%,-23%,28%,25%,27%,26%,27%,26%,27%,21%
Net Profit +,"1,714","1,198","6,623",-473,"-4,512",789,"1,400","1,109","1,484","1,282","1,457",894,"1,163"
EPS in Rs,16.80,11.74,64.93,-4.64,-44.23,7.74,13.72,10.87,14.54,12.56,14.28,8.77,11.40
Raw PDF,,,,,,,,,,,,,
