0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"31,964","36,681","32,021","34,643","33,929","38,048","35,487","34,198","34,686","36,540","32,958","32,399","32,760"
Expenses +,"19,796","24,447","22,453","29,977","28,793","29,393","28,779","27,292","26,392","28,469","26,182","25,790","25,260"
Operating Profit,"12,168","12,234","9,568","4,666","5,136","8,655","6,708","6,905","8,293","8,071","6,776","6,610","7,500"
OPM %,38%,33%,30%,13%,15%,23%,19%,20%,24%,22%,21%,20%,23%
Other Income +,99,430,681,795,717,-214,"1,473","-12,171",336,-164,138,865,310
Interest,644,646,722,994,"1,117","1,096","1,020","1,116","1,038",926,925,"1,133","1,080"
Depreciation,"1,360","1,380","1,344","1,443","1,503","1,504","1,484","1,482","1,519","1,520","1,524","1,556","1,556"
Profit before tax,"10,263","10,639","8,183","3,023","3,233","5,842","5,677","-7,864","6,071","5,461","4,465","4,786","5,175"
Tax %,25%,26%,25%,27%,27%,29%,8%,8%,23%,25%,25%,25%,25%
Net Profit +,"7,683","7,839","6,114","2,215","2,364","4,172","5,214","-8,491","4,699","4,083","3,331","3,591","3,879"
EPS in Rs,6.29,6.42,5.01,1.81,1.93,3.41,4.27,-6.95,3.82,3.27,2.67,2.88,3.11
Raw PDF,,,,,,,,,,,,,
