0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"38,199","41,711","41,785","38,269","47,993","59,617","70,611","60,436","84,133","129,021","142,913","140,987","134,658"
Expenses +,"27,073","28,894","31,776","30,871","36,117","43,450","50,048","45,518","57,009","77,892","114,643","111,154","105,701"
Operating Profit,"11,126","12,817","10,009","7,398","11,876","16,167","20,563","14,918","27,124","51,130","28,271","29,833","28,957"
OPM %,29%,31%,24%,19%,25%,27%,29%,25%,32%,40%,20%,21%,22%
Other Income +,228,646,"2,474","-1,044",-289,"-2,991","2,291","-1,356","1,496","1,217","1,750","-10,513","1,149"
Interest,"1,877","1,821","1,976","1,848","2,689","2,811","2,824","3,031","4,541","2,792","3,975","4,179","4,063"
Depreciation,"1,640","1,929","1,998","2,962","3,542","3,727","3,803","3,920","5,469","5,464","5,956","5,970","6,156"
Profit before tax,"7,837","9,714","8,509","1,543","5,357","6,638","16,227","6,611","18,610","44,091","20,090","9,172","19,886"
Tax %,35%,34%,24%,38%,36%,37%,35%,-2%,8%,25%,27%,48%,
Net Profit +,"5,063","6,412","6,439",956,"3,445","4,170","10,533","6,744","17,078","33,011","14,685","4,807","14,884"
EPS in Rs,4.49,5.69,5.72,0.85,3.06,3.70,9.35,5.99,14.27,27.03,12.02,3.85,11.93
Dividend Payout %,15%,15%,12%,81%,28%,27%,14%,17%,18%,19%,30%,94%,
