0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,0,126,"2,561","2,894","3,112","3,507","4,712","5,181","4,964","5,874","7,910","8,679","9,334"
Expenses +,0,107,"2,156","2,360","2,508","2,956","3,848","4,150","4,026","4,555","6,266","6,850","7,503"
Operating Profit,0,20,404,533,604,551,864,"1,031",938,"1,319","1,644","1,829","1,831"
OPM %,,16%,16%,18%,19%,16%,18%,20%,19%,22%,21%,21%,20%
Other Income +,0,-4,25,82,54,188,151,212,174,154,202,203,212
Interest,0,3,3,2,1,0,1,35,44,39,40,48,52
Depreciation,0,1,47,54,58,58,73,153,174,183,205,246,275
Profit before tax,0,12,379,559,600,681,941,"1,055",895,"1,251","1,600","1,739","1,715"
Tax %,,46%,17%,22%,25%,28%,26%,25%,25%,27%,28%,28%,
Net Profit +,0,6,315,436,449,489,700,790,673,918,"1,153","1,258","1,236"
EPS in Rs,0.00,0.61,10.51,58.17,44.15,47.77,67.31,75.59,64.08,87.04,109.20,119.00,116.77
Dividend Payout %,,0%,50%,25%,27%,34%,31%,28%,34%,40%,41%,42%,
