0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,11,11,11,11,10,10,10,10,10,10,14,28,28
Reserves,299,309,347,350,458,481,523,363,519,561,540,679,752
Borrowings +,17,6,5,97,0,0,0,0,82,71,41,34,29
Other Liabilities +,42,82,115,58,84,118,124,279,171,161,208,212,270
Total Liabilities,369,407,478,515,552,609,657,652,783,804,802,953,"1,079"
Fixed Assets +,21,15,12,18,19,20,20,103,84,70,56,63,56
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,106,109,107,96,136,199,149,56,98,143,84,64,63
Other Assets +,242,284,358,400,397,389,488,494,600,591,663,826,960
Total Assets,369,407,478,515,552,609,657,652,783,804,802,953,"1,079"
