0,1,2,3,4,5,6,7,8,9,10
Sales +,"1,129","1,087","1,374","1,719","1,875","1,696","3,038","4,378","4,472","4,816"
Expenses +,921,809,"1,008","1,264","1,280",991,"2,265","3,508","3,368","3,660"
Operating Profit,208,278,366,455,595,704,773,870,"1,104","1,157"
OPM %,18%,26%,27%,26%,32%,42%,25%,20%,25%,24%
Other Income +,26,-22,80,59,44,30,42,37,47,41
Interest,43,44,125,90,41,40,53,79,111,106
Depreciation,52,56,61,67,51,63,83,113,157,195
Profit before tax,138,156,259,357,547,631,679,716,882,897
Tax %,41%,35%,36%,36%,20%,25%,26%,26%,26%,
Net Profit +,81,101,165,229,436,472,505,530,653,664
EPS in Rs,3.17,3.94,6.41,2.08,3.97,4.29,4.59,4.82,5.94,6.03
Dividend Payout %,54%,0%,0%,12%,6%,6%,5%,5%,4%,
