0,1,2,3,4,5,6,7,8,9
Cash from Operating Activity +,255,258,277,356,492,654,732,846,971
Cash from Investing Activity +,-413,-303,-988,791,-461,-770,"-1,133","-1,163",-769
Cash from Financing Activity +,39,50,779,"-1,077",-102,39,422,295,-77
Net Cash Flow,-118,5,68,70,-71,-78,21,-22,124
