0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"-3,759","-2,451","-2,271","-2,814","-1,491","-7,923","-9,331","-2,086","-8,857","-5,608","-27,037","-35,768"
Cash from Investing Activity +,-8,-80,-40,-147,-202,-63,-4,-51,"-1,759","1,667","-2,160","-2,705"
Cash from Financing Activity +,"4,087","2,751","1,826","3,037","1,701","7,965","12,220","2,461","8,708","5,151","27,449","38,405"
Net Cash Flow,319,219,-485,76,8,-20,"2,885",323,"-1,908","1,210","-1,748",-68
