0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,12,-173,"-1,083","2,885","7,498","-1,723","-10,823",703,"2,467","6,898","-1,438","11,597"
Cash from Investing Activity +,-126,-171,-151,-132,-99,-134,-126,-109,-189,-302,-177,-275
Cash from Financing Activity +,542,274,"1,885",-186,-77,"1,100","4,220",698,217,378,228,461
Net Cash Flow,429,-71,651,"2,567","7,322",-758,"-6,729","1,292","2,495","6,974","-1,387","11,783"
