0,1,2,3,4,5,6,7,8,9
Cash from Operating Activity +,,,,,156,516,123,715,986
Cash from Investing Activity +,,,,,4,-310,144,-362,-116
Cash from Financing Activity +,,,,,-126,-23,-488,-376,-833
Net Cash Flow,,,,,34,183,-221,-23,36
