0,1,2,3,4,5,6,7,8,9,10
Sales +,"7,956","7,541","8,297","7,448","7,846","7,326","9,056","11,584","15,783","20,182"
Expenses +,"7,738","7,063","7,764","7,106","7,192","6,686","8,346","10,627","14,640","18,965"
Operating Profit,218,479,533,342,654,640,710,957,"1,143","1,218"
OPM %,3%,6%,6%,5%,8%,9%,8%,8%,7%,6%
Other Income +,143,51,22,58,98,53,42,9,76,113
Interest,295,314,253,245,331,331,282,258,269,239
Depreciation,59,78,82,91,186,174,181,183,206,233
Profit before tax,7,139,220,64,235,187,290,525,744,859
Tax %,-240%,18%,37%,30%,34%,26%,26%,26%,26%,
Net Profit +,25,114,138,45,156,138,214,390,554,635
EPS in Rs,0.35,1.36,1.64,0.54,1.86,1.34,2.08,3.78,5.38,6.16
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,13%,22%,
