0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"12,597","11,160","14,264","15,986","15,776","13,874","11,656","12,532","14,747","13,793","13,415","13,022","12,227"
Expenses +,"10,865","9,991","13,199","14,813","14,101","12,931","10,474","11,317","13,041","12,689","11,852","11,821","10,979"
Operating Profit,"1,732","1,169","1,064","1,173","1,675",943,"1,182","1,215","1,706","1,104","1,563","1,200","1,248"
OPM %,14%,10%,7%,7%,11%,7%,10%,10%,12%,8%,12%,9%,10%
Other Income +,72,85,142,94,184,154,147,157,156,157,218,202,196
Interest,78,80,78,81,81,90,75,75,70,71,67,65,65
Depreciation,194,190,191,192,192,189,192,195,195,194,195,196,210
Profit before tax,"1,533",984,937,994,"1,586",818,"1,062","1,102","1,597",996,"1,520","1,140","1,169"
Tax %,25%,24%,25%,25%,26%,25%,26%,26%,25%,26%,25%,26%,26%
Net Profit +,"1,144",750,701,744,"1,181",614,790,818,"1,191",738,"1,142",848,867
EPS in Rs,7.62,5.00,4.67,4.96,7.87,4.09,5.27,5.45,7.94,4.92,7.61,5.65,5.78
Raw PDF,,,,,,,,,,,,,
