0,1,2,3,4,5,6,7,8
Cash from Operating Activity +,0,97,57,143,-24,147,109,267
Cash from Investing Activity +,0,-91,-43,-156,52,-79,-44,-233
Cash from Financing Activity +,0,-7,-3,28,-17,-49,-64,-72
Net Cash Flow,0,-2,11,15,12,19,0,-37
