0,1,2,3,4,5,6,7,8,9
Equity Capital,0.19,13,13,14,14,21,21,21,21
Reserves,6,76,141,212,266,360,484,661,564
Borrowings +,0,1,1,42,33,39,36,51,66
Other Liabilities +,0,79,58,162,49,82,102,160,210
Total Liabilities,7,169,213,429,362,501,644,894,861
Fixed Assets +,0,9,9,32,20,93,110,131,150
CWIP,0,0,0,65,69,0,0,1,1
Investments,4,62,129,193,194,193,195,202,202
Other Assets +,3,98,75,139,79,215,338,559,508
Total Assets,7,169,213,429,362,501,644,894,861
