0,1,2,3,4,5,6,7,8,9
Sales +,1,214,275,327,260,408,538,720,868
Expenses +,1,136,180,213,185,230,296,400,496
Operating Profit,0,78,95,114,75,178,242,320,373
OPM %,26%,36%,35%,35%,29%,44%,45%,44%,43%
Other Income +,0,6,6,1,2,1,0,0,32
Interest,0,9,3,3,3,2,4,6,10
Depreciation,0,4,4,16,12,11,12,14,18
Profit before tax,0,71,94,96,62,166,226,300,377
Tax %,21%,29%,30%,26%,29%,24%,26%,26%,
Net Profit +,0,50,65,71,44,125,168,221,278
EPS in Rs,4.00,18.71,12.11,13.18,8.03,15.08,20.17,26.46,33.50
Dividend Payout %,0%,0%,0%,0%,31%,36%,30%,26%,
