0,1,2,3,4,5,6,7,8
Debtor Days,248,18,12,9,14,13,11,14
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,248,18,12,9,14,13,11,14
Working Capital Days,816,22,-36,-48,-24,26,100,192
ROCE %,,,79%,47%,22%,46%,48%,48%
