0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,102,109,128,132,133,137,168,175,175,177,229,234,228
Expenses +,58,64,73,72,72,78,96,100,97,106,133,132,124
Operating Profit,44,45,55,59,61,59,71,75,78,71,96,102,104
OPM %,43%,41%,43%,45%,46%,43%,43%,43%,44%,40%,42%,44%,46%
Other Income +,2,1,1,1,2,3,3,6,4,12,7,6,6
Interest,0,1,1,1,1,1,1,2,2,2,1,3,4
Depreciation,3,2,3,3,3,3,3,3,4,4,4,5,5
Profit before tax,43,43,53,57,58,59,70,76,76,77,97,101,102
Tax %,25%,22%,25%,25%,26%,26%,25%,26%,26%,28%,26%,25%,26%
Net Profit +,32,34,39,43,43,43,52,57,57,56,72,75,76
EPS in Rs,3.83,4.09,4.74,5.11,5.14,5.18,6.28,6.78,6.82,6.63,8.71,9.04,9.12
Raw PDF,,,,,,,,,,,,,
