0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,932","1,506","2,594","2,888","2,272","1,717","2,571","2,485","1,695","1,652","2,418","2,549","1,970"
Expenses +,"2,180","1,082","1,187","1,061","1,345","1,055","1,185","1,062","1,226",910,"1,003","1,118","1,181"
Operating Profit,-248,424,"1,407","1,827",927,662,"1,386","1,423",469,742,"1,415","1,431",790
OPM %,-13%,28%,54%,63%,41%,39%,54%,57%,28%,45%,59%,56%,40%
Other Income +,150,576,244,275,249,469,301,153,641,755,427,396,479
Interest,130,133,137,107,120,112,115,126,132,95,228,298,651
Depreciation,286,280,287,284,288,286,276,277,278,280,282,271,279
Profit before tax,-514,586,"1,227","1,711",768,733,"1,296","1,174",700,"1,122","1,332","1,258",338
Tax %,-248%,4%,14%,16%,-2%,22%,19%,-23%,22%,38%,23%,29%,19%
Net Profit +,761,560,"1,050","1,433",782,569,"1,053","1,447",542,698,"1,024",898,274
EPS in Rs,0.76,0.56,1.04,1.43,0.78,0.57,1.05,1.44,0.54,0.69,1.02,0.89,0.27
Raw PDF,,,,,,,,,,,,,
