0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,124","2,163","2,334","2,411","2,480","2,393","2,456","2,678","2,564","2,616","2,492","2,515","2,496"
Expenses +,"1,929","2,030","2,163","2,237","2,271","2,173","2,180","2,288","2,201","2,283","2,187","2,261","2,311"
Operating Profit,194,133,171,174,210,220,276,389,363,333,306,253,185
OPM %,9%,6%,7%,7%,8%,9%,11%,15%,14%,13%,12%,10%,7%
Other Income +,7,10,-16,-8,6,14,7,5,7,-4,13,16,17
Interest,56,57,54,59,71,73,69,57,56,59,61,66,70
Depreciation,61,58,61,59,60,63,62,62,63,65,65,67,67
Profit before tax,84,28,39,48,84,98,152,275,250,204,194,136,64
Tax %,31%,5%,32%,25%,36%,31%,34%,35%,34%,28%,26%,27%,28%
Net Profit +,58,26,27,36,54,67,100,180,164,146,143,99,46
EPS in Rs,2.35,1.06,1.08,1.46,2.18,2.73,4.07,7.31,6.30,5.61,5.49,3.62,1.69
Raw PDF,,,,,,,,,,,,,
