0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,132,131,112,125,127,107,110,107,110,92,87,64
Inventory Days,236,277,226,185,167,125,143,162,184,147,146,137
Days Payable,105,136,81,77,68,43,34,41,43,42,43,41
Cash Conversion Cycle,263,272,258,233,225,189,219,229,250,197,191,160
Working Capital Days,158,182,180,177,182,155,169,175,175,138,132,84
ROCE %,8%,5%,9%,7%,8%,9%,6%,6%,4%,13%,13%,34%
