0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"15,349","17,238","19,813","22,105","22,113","22,614","24,403","25,762","25,737","25,434","27,133","28,919","30,964"
Expenses +,"13,546","15,302","17,391","18,513","18,840","19,774","20,852","21,270","22,088","22,006","23,017","23,649","26,154"
Operating Profit,"1,803","1,936","2,422","3,592","3,273","2,840","3,551","4,492","3,649","3,428","4,116","5,270","4,810"
OPM %,12%,11%,12%,16%,15%,13%,15%,17%,14%,13%,15%,18%,16%
Other Income +,517,355,99,-30,-418,-220,663,691,387,224,258,677,265
Interest,54,56,70,64,69,70,33,33,35,40,53,55,61
Depreciation,645,693,695,791,829,839,840,828,831,988,915,961,"1,045"
Profit before tax,"1,621","1,541","1,755","2,707","1,958","1,711","3,341","4,322","3,170","2,624","3,406","4,931","3,968"
Tax %,18%,18%,20%,24%,22%,9%,17%,21%,21%,24%,23%,22%,25%
Net Profit +,"1,335","1,269","1,404","2,068","1,528","1,549","2,759","3,393","2,490","2,000","2,613","3,841","2,964"
EPS in Rs,10.74,10.20,11.29,16.63,12.29,12.46,22.19,27.29,20.02,16.08,21.01,30.89,23.84
Raw PDF,,,,,,,,,,,,,
