0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,295,295,296,296,297,595,596,597,597,598,599,600,600
Reserves,"14,364","16,496","18,959","22,127","26,489","29,699","33,613","33,871","34,354","37,600","42,758","51,677","55,541"
Borrowings +,"3,489","4,045","3,728","2,917","2,851","2,958","2,571","3,027","7,786","6,743","5,026","2,036","1,594"
Other Liabilities +,"9,306","10,452","9,961","10,159","10,332","14,195","15,916","13,007","18,827","21,665","27,398","29,498","33,312"
Total Liabilities,"27,454","31,289","32,945","35,500","39,968","47,447","52,697","50,502","61,564","66,606","75,780","83,811","91,047"
Fixed Assets +,"4,958","5,877","5,929","7,596","7,771","7,859","10,082","10,395","12,011","14,904","16,976","17,528","20,739"
CWIP,863,"1,228","2,179","1,562","2,040","3,129","2,420","4,009","6,125","5,263","2,785","3,756","2,222"
Investments,"11,833","11,380","13,138","13,547","17,908","20,583","22,016","19,938","21,783","24,204","27,087","29,995","30,073"
Other Assets +,"9,799","12,803","11,698","12,794","12,248","15,876","18,179","16,160","21,645","22,235","28,932","32,532","38,014"
Total Assets,"27,454","31,289","32,945","35,500","39,968","47,447","52,697","50,502","61,564","66,606","75,780","83,811","91,047"
