0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,575","3,539","3,836","4,769",40,65,74,91,58,84,84,86,86
Expenses +,"3,242","3,200","3,547","3,600",4,3,3,2,3,3,3,3,4
Operating Profit,333,339,289,"1,169",36,61,71,88,55,81,81,83,83
OPM %,9%,10%,8%,25%,91%,95%,96%,97%,96%,97%,97%,96%,96%
Other Income +,0,12,103,3,0,0,0,0,0,0,0,0,0
Interest,107,125,140,137,0,0,0,1,22,10,7,4,1
Depreciation,80,84,97,111,0,0,0,0,0,0,0,0,0
Profit before tax,147,141,155,924,36,61,71,87,34,71,74,79,82
Tax %,29%,33%,22%,21%,0%,3%,6%,4%,36%,22%,22%,22%,
Net Profit +,104,94,121,730,36,59,67,83,22,56,58,62,64
EPS in Rs,5.57,5.03,6.46,38.97,1.94,3.17,3.54,4.44,1.16,2.96,3.08,3.29,3.38
Dividend Payout %,36%,40%,31%,13%,65%,39%,35%,15%,48%,19%,18%,17%,
