0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"25,960","27,851","34,525","34,271","36,937","42,809","45,749","40,242","42,701","67,653","76,878","83,009","90,333"
Expenses +,"23,807","25,372","31,103","30,916","32,125","37,685","41,503","36,578","38,607","56,455","69,456","75,706","79,951"
Operating Profit,"2,153","2,479","3,423","3,355","4,812","5,124","4,246","3,664","4,094","11,198","7,422","7,303","10,382"
OPM %,8%,9%,10%,10%,13%,12%,9%,9%,10%,17%,10%,9%,11%
Other Income +,"1,034",741,299,968,"1,092",623,940,675,657,428,627,921,"1,299"
Interest,436,712,"1,637","2,390","2,323","1,901","1,683","1,679","1,469","1,417","1,300","1,268",965
Depreciation,704,823,837,"1,282","1,428","1,617","1,693","1,708","1,708","1,752","1,874","1,961","2,012"
Profit before tax,"2,047","1,685","1,247",651,"2,153","2,229","1,810",952,"1,574","8,457","4,875","4,995","8,704"
Tax %,17%,16%,26%,15%,28%,36%,33%,35%,37%,35%,32%,26%,
Net Profit +,"1,699","1,413",925,552,"1,557","1,436","1,205",620,993,"5,507","3,326","3,697","6,237"
EPS in Rs,8.88,6.85,4.48,2.67,6.94,6.40,5.37,2.76,4.42,24.51,14.80,16.45,27.75
Dividend Payout %,16%,15%,22%,37%,16%,19%,22%,36%,67%,16%,20%,21%,
