0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"27,183","30,641","35,479","40,988","44,542","45,780","54,986","62,635","63,346","67,377","85,164","109,369","120,659"
Interest,"17,516","18,690","21,254","24,155","26,449","27,163","33,278","37,429","34,107","34,245","42,218","59,474","67,033"
Expenses +,"8,313","9,644","11,127","13,367","23,808","28,895","27,155","35,066","31,749","29,962","29,089","37,943","44,566"
Financing Profit,"1,353","2,307","3,097","3,466","-5,715","-10,277","-5,447","-9,859","-2,510","3,170","13,857","11,952","9,061"
Financing Margin %,5%,8%,9%,8%,-13%,-22%,-10%,-16%,-4%,5%,16%,11%,8%
Other Income +,"6,551","7,405","8,365","9,371","11,691","10,967","13,130","15,537","12,264","15,221","16,143","22,442","25,243"
Depreciation,352,364,406,444,509,568,710,773,948,"1,008","13,094","1,334",0
Profit before tax,"7,553","9,349","11,057","12,394","5,468",122,"6,974","4,904","8,806","17,383","16,906","33,060","34,304"
Tax %,31%,33%,33%,34%,33%,-127%,33%,67%,25%,25%,43%,25%,
Net Profit +,"5,179","6,218","7,358","8,224","3,679",276,"4,677","1,627","6,588","13,025","9,580","24,861","26,386"
EPS in Rs,22.14,26.47,31.04,34.51,15.36,1.07,18.19,5.77,21.50,42.43,31.13,80.55,85.36
Dividend Payout %,16%,15%,15%,14%,33%,0%,6%,0%,0%,2%,3%,1%,
